Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: Indica se a medição é média diaria ou instantânea.  0 = Não , 1 = Sim
TipoMedicaoCotas: 1 = Escala, 2 = Linígrafo, 3 = Data Logger, 5 = Escala SMS
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:65925770


EstacaoCodigo;NivelConsistencia;Data;hora;MediaDiaria;TipoMedicaoCotas;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Cota01;Cota02;Cota03;Cota04;Cota05;Cota06;Cota07;Cota08;Cota09;Cota10;Cota11;Cota12;Cota13;Cota14;Cota15;Cota16;Cota17;Cota18;Cota19;Cota20;Cota21;Cota22;Cota23;Cota24;Cota25;Cota26;Cota27;Cota28;Cota29;Cota30;Cota31;Cota01Status;Cota02Status;Cota03Status;Cota04Status;Cota05Status;Cota06Status;Cota07Status;Cota08Status;Cota09Status;Cota10Status;Cota11Status;Cota12Status;Cota13Status;Cota14Status;Cota15Status;Cota16Status;Cota17Status;Cota18Status;Cota19Status;Cota20Status;Cota21Status;Cota22Status;Cota23Status;Cota24Status;Cota25Status;Cota26Status;Cota27Status;Cota28Status;Cota29Status;Cota30Status;Cota31Status
65925770;1;01/07/2009;07:00;0;1;70;46;51;16;8;1;1;1;;;56;56;54;50;48;48;48;46;46;46;54;52;50;50;48;70;58;56;54;52;50;48;48;48;48;46;48;50;48;48;48;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
65925770;1;01/07/2009;17:00;0;1;70;46;51;15;8;1;1;1;;;56;56;52;50;48;48;48;46;46;46;54;52;50;50;70;66;58;56;54;52;50;48;48;48;48;46;52;50;48;48;48;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
65925770;1;01/07/2009;;1;1;70;46;51;16;8;1;1;1;;;56;56;53;50;48;48;48;46;46;46;54;52;50;50;59;68;58;56;54;52;50;48;48;48;48;46;50;50;48;48;48;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
65925770;1;01/06/2009;07:00;0;1;66;42;49;1;11;1;1;1;;;66;60;52;50;48;48;46;46;44;44;42;42;42;42;42;65;60;52;50;50;48;48;48;48;46;46;46;46;46;50;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65925770;1;01/06/2009;17:00;0;1;66;42;48;1;11;1;1;1;;;66;54;50;50;48;46;46;46;44;44;42;42;42;42;46;60;54;50;50;50;48;48;48;48;46;46;46;46;46;50;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65925770;1;01/06/2009;;1;1;66;42;48;1;11;1;1;1;;;66;57;51;50;48;47;46;46;44;44;42;42;42;42;44;63;57;51;50;50;48;48;48;48;46;46;46;46;46;50;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65925770;1;01/05/2009;07:00;0;1;76;32;42;14;1;1;1;1;;;32;32;32;32;32;32;32;32;32;32;32;32;32;76;58;46;42;40;40;40;40;40;42;44;46;48;50;54;58;60;66;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
65925770;1;01/05/2009;17:00;0;1;76;32;42;14;1;1;1;1;;;32;32;32;32;32;32;32;32;32;32;32;32;32;76;54;44;40;40;40;40;40;42;42;44;46;48;50;54;58;60;66;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
65925770;1;01/05/2009;;1;1;76;32;42;14;1;1;1;1;;;32;32;32;32;32;32;32;32;32;32;32;32;32;76;56;45;41;40;40;40;40;41;42;44;46;48;50;54;58;60;66;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
65925770;1;01/04/2009;07:00;0;1;36;32;34;1;19;1;1;1;;;36;36;36;36;36;36;36;36;34;34;34;34;34;34;34;34;34;34;32;32;32;32;32;32;32;32;32;32;32;32;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65925770;1;01/04/2009;17:00;0;1;36;32;34;1;19;1;1;1;;;36;36;36;36;36;36;36;36;34;34;34;34;34;34;34;34;34;34;32;32;32;32;32;32;32;32;32;32;32;32;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65925770;1;01/04/2009;;1;1;36;32;34;1;19;1;1;1;;;36;36;36;36;36;36;36;36;34;34;34;34;34;34;34;34;34;34;32;32;32;32;32;32;32;32;32;32;32;32;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65925770;1;01/03/2009;07:00;0;1;54;36;42;8;1;1;1;1;;;36;36;36;36;36;38;38;54;52;50;50;50;50;48;48;48;46;46;44;44;42;42;40;40;38;38;38;38;36;36;36;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
65925770;1;01/03/2009;17:00;0;1;54;36;42;8;1;1;1;1;;;36;36;36;36;36;38;38;54;52;50;50;50;50;48;48;48;46;46;44;44;42;42;40;40;38;38;38;38;36;36;36;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
